gene_id	logFC	logCPM	LR	PValue	FDR	symbol	description
ENSG00000148346	-1.231964984268697	6.6894088460482	459.2516542278558	6.994304172932385e-102	1.2181746434523904e-98	LCN2	lipocalin 2
ENSG00000163207	-1.3866815036523117	7.718740655162199	456.34863382794373	2.9957007061150616e-101	5.0764982236057935e-98	IVL	involucrin
ENSG00000176153	1.270652632385703	10.41463942619854	456.1889533224621	3.245250821578372e-101	5.354663855604314e-98	GPX2	glutathione peroxidase 2
ENSG00000167165	1.3801134471401095	8.207144525344695	450.809634233027	4.807475927620132e-100	7.728942068250826e-97	UGT1A6	UDP glucuronosyltransferase family 1 member A6
ENSG00000169715	-1.8253471012185267	7.0782521033272205	447.93640593939494	2.0286775210037176e-99	3.1799520141733274e-96	MT1E	metallothionein 1E
ENSG00000169469	-1.6936859854195783	6.236581345371769	443.3352219960705	2.0350708159169143e-98	3.112169272146111e-95	SPRR1B	small proline rich protein 1B
ENSG00000066926	1.8295369036594693	6.065676110912827	441.6760777699557	4.673784218869101e-98	6.97729215531173e-95	FECH	ferrochelatase
ENSG00000167941	2.13688874628661	4.072331160241103	439.1696650152014	1.6411923906969312e-97	2.3930875092255252e-94	SOST	sclerostin
ENSG00000106541	-1.7743843567279216	6.099140834185539	435.35890674589757	1.1079981375659875e-96	1.5788973460315323e-93	AGR2	anterior gradient 2, protein disulphide isomerase family member
ENSG00000198363	1.7272147596232486	6.61583441175191	429.7750203185009	1.81909290734684e-95	2.5346027842365967e-92	ASPH	aspartate beta-hydroxylase
ENSG00000023330	1.4897233256093163	5.090744420743912	426.5583504823495	9.119471875967998e-95	1.2430236665721597e-91	ALAS1	5'-aminolevulinate synthase 1
ENSG00000135047	1.4368202726399664	6.10949660197563	421.72375312601304	1.0286149249392599e-93	1.3722160807168425e-90	CTSL	cathepsin L
ENSG00000100033	-1.5943773979850344	5.594147026389835	414.489878508184	3.8619624000484074e-92	5.044688385063232e-89	PRODH	proline dehydrogenase 1
ENSG00000065833	1.682687943530865	4.720988130688638	410.2650888071684	3.209397358412867e-91	4.1067186606629957e-88	ME1	malic enzyme 1
ENSG00000203837	2.131605883662515	3.874143591958557	406.9639084646639	1.678848642904607e-90	2.105276198202377e-87	PNLIPRP3	pancreatic lipase related protein 3
ENSG00000176641	-1.496695943272098	5.2571974390728595	376.2085692986611	8.32580142366048e-84	1.0235838220853177e-80	RNF152	ring finger protein 152
ENSG00000163283	-1.619665253949506	8.201780026142925	368.98207397008457	3.117661554953063e-82	3.7591803749145586e-79	ALPP	alkaline phosphatase, placental
ENSG00000109814	1.6175739133350002	5.122121941259189	366.90131072052424	8.84875931209362e-82	1.0468249223929621e-78	UGDH	UDP-glucose 6-dehydrogenase
ENSG00000290563	10.637433052060029	2.286019668720521	362.3761877927676	8.55422293493629e-81	9.932403296676026e-78	NA	NA
ENSG00000135334	1.2314973160814897	5.987037642139165	359.7770912066584	3.1486308727259684e-80	3.589439194907604e-77	AKIRIN2	akirin 2
ENSG00000165140	-1.3257532386121063	5.841045141218245	354.4446162776276	4.5632957571789616e-79	5.10926149955573e-76	FBP1	fructose-bisphosphatase 1
ENSG00000106366	2.795556972503394	4.804392289419274	350.6309811171797	3.088409483440445e-78	3.3972504317844895e-75	SERPINE1	serpin family E member 1
ENSG00000136235	-1.1401135413467143	7.342225131671512	350.01327015961124	4.209687332066606e-78	4.550817167596141e-75	GPNMB	glycoprotein nmb
ENSG00000073150	2.698481645442385	3.4021334958276106	348.17821631973726	1.0564810901348011e-77	1.1227349890076614e-74	PANX2	pannexin 2
ENSG00000189060	-1.1007784265630685	8.016297447556555	342.3632953407289	1.9507072091531825e-76	2.038489033565076e-73	H1-0	H1.0 linker histone
ENSG00000138678	2.973753226680478	4.0989250213403094	341.5291459189681	2.963821154441094e-76	3.0464194489091243e-73	GPAT3	glycerol-3-phosphate acyltransferase 3
ENSG00000170477	-1.1406941068006264	9.465836809004344	322.2779760026518	4.620767946836157e-72	4.672937907526243e-69	KRT4	keratin 4
ENSG00000157193	1.7543973025106523	4.278199638734983	316.584774809214	8.031996835056454e-71	7.993749231079995e-68	LRP8	LDL receptor related protein 8
ENSG00000134202	2.3069314153910288	4.279769225560756	315.0890030340817	1.700780315400886e-70	1.6662332152443053e-67	GSTM3	glutathione S-transferase mu 3
ENSG00000163286	-1.753266161437476	4.2538208682793845	314.904893529349	1.8653194412386003e-70	1.7993158302409267e-67	ALPG	alkaline phosphatase, germ cell
ENSG00000175832	1.7007996450412133	5.5818181498810535	310.8229817180001	1.445254795847087e-69	1.3729920560547325e-66	ETV4	ETS variant transcription factor 4
ENSG00000108846	1.7328643919072726	7.0167518652389615	297.8590889245171	9.642935616708963e-67	9.024060644293313e-64	ABCC3	ATP binding cassette subfamily C member 3
ENSG00000151914	1.0548193498743896	6.7484407646117806	296.4019351025108	2.003014346684966e-66	1.846897052016873e-63	DST	dystonin
ENSG00000103044	1.6381726347611005	4.669797314684023	295.44630666858336	3.235137257774884e-66	2.939755160325873e-63	HAS3	hyaluronan synthase 3
ENSG00000125726	-1.323848207463006	4.378000612621359	294.1570276915383	6.17731028172762e-66	5.533105066633168e-63	CD70	CD70 molecule
ENSG00000164733	-0.9650105346401594	8.466023419894862	286.3624979754125	3.0842677347885824e-64	2.723712492552734e-61	CTSB	cathepsin B
ENSG00000162981	-1.3839239667099257	4.4539423942694585	285.7598181602116	4.173271853899142e-64	3.6342242394371696e-61	LRATD1	LRAT domain containing 1
ENSG00000002726	-2.1100778485724057	3.293648706564219	284.2889823613936	8.729260407453453e-64	7.497597637634678e-61	AOC1	amine oxidase copper containing 1
ENSG00000172005	-1.2511411955010308	5.20947507526586	284.00721460470896	1.0054868123584236e-63	8.51946258579367e-61	MAL	mal, T cell differentiation protein
ENSG00000172478	-2.3710548443163018	2.947676172379637	279.8466302717045	8.109948404083714e-63	6.779916865813985e-60	MAB21L4	mab-21 like 4
ENSG00000198417	-1.8214644244780434	5.0063879529597966	278.12369230294286	1.9252224584728682e-62	1.5883085282401163e-59	MT1F	metallothionein 1F
ENSG00000144476	1.1313654528239756	6.132323837852211	277.56505419531646	2.5481275008041605e-62	2.074903822083388e-59	ACKR3	atypical chemokine receptor 3
ENSG00000059145	1.7719373319345801	4.693604580738755	273.01230426050535	2.502671769596228e-61	2.0117630763292755e-58	UNKL	unk like zinc finger
ENSG00000197063	1.4759882126355959	4.764980935347191	267.3303022939794	4.332801158789803e-60	3.4388181348876033e-57	MAFG	MAF bZIP transcription factor G
ENSG00000108448	2.5830955080804574	5.52858408966424	264.95431387279524	1.42768495961193e-59	1.1189480870958502e-56	TRIM16L	tripartite motif containing 16 like
ENSG00000103154	6.749951184959301	2.1227766994689876	260.4469524078887	1.3711706417511294e-58	1.0613876449110593e-55	NECAB2	N-terminal EF-hand calcium binding protein 2
ENSG00000121858	-0.9870459805785424	6.942353489344426	258.3863061676308	3.8571541508862495e-58	2.9493117714703396e-55	TNFSF10	TNF superfamily member 10
ENSG00000108602	1.5311951568865476	7.342316897288084	256.7849859441631	8.616460740930082e-58	6.509061306702604e-55	ALDH3A1	aldehyde dehydrogenase 3 family member A1
ENSG00000196352	1.8410395126104895	3.5669722963429957	253.81668855559553	3.8228902151225134e-57	2.853514482002162e-54	CD55	CD55 molecule (Cromer blood group)
ENSG00000159713	-1.6399315863131978	4.113960857472581	248.7530172235014	4.856191854755291e-56	3.5821556387430203e-53	TPPP3	tubulin polymerization promoting protein family member 3
ENSG00000163032	-1.0359002128527863	5.939911025018124	246.1677781162246	1.7779681457643898e-55	1.2962628225514795e-52	VSNL1	visinin like 1
ENSG00000148180	-0.7716389361317063	9.237380612482905	239.62190254831341	4.754971419603884e-54	3.4268587127490066e-51	GSN	gelsolin
ENSG00000231683	5.262365198770905	2.3525949919735947	239.14770433129436	6.033167353313389e-54	4.29863173923579e-51	KILH	KRT19 interacting long noncoding RNA in hepatocellular carcinoma
ENSG00000108691	-2.8272299118328093	3.156909679367451	235.68186515187065	3.4378478554323627e-53	2.4219445004001024e-50	CCL2	C-C motif chemokine ligand 2
ENSG00000143412	-1.9819059340091043	3.3077160835177497	235.04877906187704	4.724314193390028e-53	3.2912722213950526e-50	ANXA9	annexin A9
ENSG00000103811	-0.8277755391913542	8.635775423651351	233.4620915616497	1.0479537162862677e-52	7.220516264961427e-50	CTSH	cathepsin H
ENSG00000124766	-1.4846420081698917	3.590738311992437	231.0907300095328	3.447267250549689e-52	2.349387571842016e-49	SOX4	SRY-box transcription factor 4
ENSG00000253154	-2.023287903093784	5.4667917873546115	228.85897691579885	1.0572637114274455e-51	7.12800373188181e-49	NA	NA
ENSG00000186395	-1.0961265722342182	7.172759673412349	228.19625909098033	1.474738420617993e-51	9.836819039654058e-49	KRT10	keratin 10
ENSG00000072210	0.8082699583949795	7.732200998796515	227.90072397091683	1.710679390107381e-51	1.1290483974708715e-48	ALDH3A2	aldehyde dehydrogenase 3 family member A2
ENSG00000119929	1.3161428665876107	4.470477951043158	227.79167697412439	1.8069698707882124e-51	1.1801771968585511e-48	CUTC	cutC copper transporter
ENSG00000109854	0.9711352195808722	6.857259567632732	227.50686548120126	2.0848090211736647e-51	1.3476033569854513e-48	HTATIP2	HIV-1 Tat interactive protein 2
ENSG00000163931	0.8852928306429853	9.925534487553298	226.44466198926114	3.554088857728562e-51	2.2738915446896005e-48	TKT	transketolase
ENSG00000188257	-1.7241142718058706	4.318886001425063	225.9040759964006	4.662615010906493e-51	2.952989506907446e-48	PLA2G2A	phospholipase A2 group IIA
ENSG00000178695	-1.1364944551223932	4.74885978562188	216.11395010065527	6.368891283430452e-49	3.993294834710894e-46	KCTD12	potassium channel tetramerization domain containing 12
ENSG00000183421	-1.0243378531461094	6.361497411262899	215.5276512293726	8.54991065329488e-49	5.3077168115008806e-46	RIPK4	receptor interacting serine/threonine kinase 4
ENSG00000232316	-1.7837164221690394	4.666862850633369	200.7113280574658	1.4608497098995723e-45	8.979929099088548e-43	LINC02518	long intergenic non-protein coding RNA 2518
ENSG00000161011	1.144915484903951	9.001267180813548	200.6816697786753	1.4827827645822605e-45	9.026260130029877e-43	SQSTM1	sequestosome 1
ENSG00000143507	-1.0864927322798603	5.577409186176272	198.23276532892842	5.075635416065634e-45	3.060022505647262e-42	DUSP10	dual specificity phosphatase 10
ENSG00000221955	2.1257405153276476	3.9960376746368453	197.8976907379171	6.006405924871281e-45	3.586682395137422e-42	SLC12A8	solute carrier family 12 member 8
ENSG00000010438	1.2095884783943758	4.9343883386480245	197.32059702948365	8.027066798610401e-45	4.748085738423322e-42	PRSS3	serine protease 3
ENSG00000248323	4.781871700427725	2.6966116753010474	197.0901502165783	9.012577375173627e-45	5.2812018824615556e-42	LUCAT1	lung cancer associated transcript 1
ENSG00000126790	1.566550704515721	4.619584218572212	195.0222215287092	2.5477783047651357e-44	1.4791268491553147e-41	L3HYPDH	trans-L-3-hydroxyproline dehydratase
ENSG00000013588	-0.8560001874834071	7.305757344750306	194.36773280300358	3.5400117892444755e-44	2.036318708125033e-41	GPRC5A	G protein-coupled receptor class C group 5 member A
ENSG00000143320	-1.0933446189742144	7.440613810568759	193.18957513882725	6.399489748772339e-44	3.6477091568002333e-41	CRABP2	cellular retinoic acid binding protein 2
ENSG00000073849	-1.5511598959453183	3.640196533421347	192.52769665604762	8.92499815384702e-44	5.041417876091965e-41	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
ENSG00000078018	2.1815329287027123	3.380950201389025	191.5989425793388	1.4233900103489333e-43	7.968442290078403e-41	MAP2	microtubule associated protein 2
ENSG00000270276	-0.90134839578718	5.72812385816831	191.05771797135117	1.8683461669023995e-43	1.036684112077703e-40	H4C15	H4 clustered histone 15
ENSG00000166670	-2.051552961126551	3.2871023665417627	190.8918761397986	2.0307482441560948e-43	1.1169115342858522e-40	MMP10	matrix metallopeptidase 10
ENSG00000175592	2.6864178123275813	5.542682497135635	190.2374260114975	2.821670123555383e-43	1.538423623886283e-40	FOSL1	FOS like 1, AP-1 transcription factor subunit
ENSG00000087842	0.7532946781441733	7.088300303913472	188.40232439383772	7.097030544274819e-43	3.8360673717761306e-40	PIR	pirin
ENSG00000175274	-0.9056917007018108	5.266020089860737	187.78588065315034	9.67475596118815e-43	5.184676912534162e-40	TP53I11	tumor protein p53 inducible protein 11
ENSG00000221926	1.2480532303742542	6.942342246513191	186.61534284007155	1.7424596749306668e-42	9.258662848995999e-40	TRIM16	tripartite motif containing 16
ENSG00000167183	-1.3899693825873871	3.764838218345319	182.97109414166522	1.0882747990897905e-41	5.7340193195739386e-39	PRR15L	proline rich 15 like
ENSG00000104267	-0.8217377628622754	8.191290400457346	179.73338851559924	5.541567830838935e-41	2.8954691916133435e-38	CA2	carbonic anhydrase 2
ENSG00000144136	1.140431584963454	5.369613654135754	179.64569320114583	5.791356199442159e-41	3.000975485165482e-38	SLC20A1	solute carrier family 20 member 1
ENSG00000265763	-0.8637946865779341	5.181565787613201	178.26856329986006	1.1573723012942685e-40	5.948134695995954e-38	ZNF488	zinc finger protein 488
ENSG00000124588	1.1937720797701108	5.217832203263567	177.34422968674755	1.8420697668336414e-40	9.390062957761734e-38	NQO2	N-ribosyldihydronicotinamide:quinone dehydrogenase 2
ENSG00000188373	-2.0443140442270527	4.643075284567048	175.6444007802058	4.329996579667835e-40	2.1894418189126875e-37	GPR15LG	G protein-coupled receptor 15 ligand
ENSG00000117450	1.0317393129390091	9.728925273383734	175.25302798833695	5.271717075222612e-40	2.644293284931662e-37	PRDX1	peroxiredoxin 1
ENSG00000076864	1.3482370231885026	4.181815800028254	174.82468092016686	6.538708341683626e-40	3.2537858176473278e-37	RAP1GAP	RAP1 GTPase activating protein
ENSG00000115419	1.0112889667980793	5.354535201115484	174.59811023649115	7.327732932990251e-40	3.6177075188857385e-37	GLS	glutaminase
ENSG00000167767	-0.8279664068083264	5.366759700643783	173.03815392530686	1.6055981879002806e-39	7.86492237354278e-37	KRT80	keratin 80
ENSG00000101187	1.0002215401495291	4.887850050623786	172.1634058914758	2.4927234963136973e-39	1.2115795598361923e-36	SLCO4A1	solute carrier organic anion transporter family member 4A1
ENSG00000102393	1.1922169891641445	5.542368009984678	170.8708073761821	4.775031562376748e-39	2.303034453546324e-36	GLA	galactosidase alpha
ENSG00000135318	1.2459999958298835	4.022123002570021	169.51875360892427	9.424891329552724e-39	4.51099760582409e-36	NT5E	5'-nucleotidase ecto
ENSG00000165794	-1.1204538554470607	4.177474455010767	169.10430342626015	1.1609098853599573e-38	5.5143219554597974e-36	SLC39A2	solute carrier family 39 member 2
ENSG00000171346	-0.8841397192215095	11.659703878605214	168.28584700159445	1.7521265139105634e-38	8.260024994149799e-36	KRT15	keratin 15
ENSG00000125730	-0.9257705499791445	5.128089695833324	168.07300293847172	1.9500942613859595e-38	9.124694790216393e-36	C3	complement C3
ENSG00000211584	0.9299848192671631	6.052221550862935	167.13139668475364	3.131328430877957e-38	1.4543280934522067e-35	SLC48A1	solute carrier family 48 member 1
ENSG00000274173	1.1972246509781659	5.269618809337607	166.80176738970943	3.6959868944866257e-38	1.703958663855231e-35	LINC02967	long intergenic non-protein coding RNA 2967
ENSG00000165092	1.378600039366358	5.083348122513609	166.71663955771572	3.8576716130563796e-38	1.7655183221798177e-35	ALDH1A1	aldehyde dehydrogenase 1 family member A1
ENSG00000265190	-0.7034193941319979	8.310124949208404	165.32544433283886	7.766364978430417e-38	3.528631044547733e-35	ANXA8	annexin A8
ENSG00000164182	1.0090235732245696	4.853561187688094	165.08362809686514	8.770849018946216e-38	3.9563470035102716e-35	NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2
ENSG00000066468	-1.17618688083868	4.03294413670253	164.26681838357857	1.3227384848544775e-37	5.923978785741123e-35	FGFR2	fibroblast growth factor receptor 2
ENSG00000132561	-0.9137849604983865	5.837819322564658	163.90966577894235	1.5830540376970048e-37	7.039538167631361e-35	MATN2	matrilin 2
ENSG00000130707	-0.9027614423801815	8.403614159264192	162.87072877103094	2.6696996261933914e-37	1.1788039898755327e-34	ASS1	argininosuccinate synthase 1
ENSG00000211459	-1.2826465633782107	12.734903442820908	161.3399218863159	5.766322625991231e-37	2.5283106898576935e-34	MT-RNR1	mitochondrially encoded 12S rRNA
ENSG00000171401	-0.8353184985812102	11.287079384007672	160.52619911643686	8.683230150859344e-37	3.780823128186673e-34	KRT13	keratin 13
ENSG00000234745	-0.7986677333761977	6.013469362186905	157.7964218454279	3.428655922314983e-36	1.4825981126148235e-33	HLA-B	major histocompatibility complex, class I, B
ENSG00000184292	-0.6488869319146481	9.168275232161292	157.65428498306215	3.6828311816469125e-36	1.5815994184195988e-33	TACSTD2	tumor associated calcium signal transducer 2
ENSG00000189143	0.6818400428644638	6.68809808947407	157.4280871741969	4.1267483274414386e-36	1.7601844906842053e-33	CLDN4	claudin 4
ENSG00000182782	-0.8433801727076317	5.760235921153365	157.2111909984282	4.602587779753944e-36	1.9498800931795426e-33	HCAR2	hydroxycarboxylic acid receptor 2
ENSG00000100100	-1.214883768536188	4.343701651220223	156.766820310771	5.755764426064112e-36	2.4219644783360146e-33	PIK3IP1	phosphoinositide-3-kinase interacting protein 1
ENSG00000157514	-0.8665287790631299	6.850606026181911	156.75360166428476	5.7941733931483606e-36	2.4219644783360146e-33	TSC22D3	TSC22 domain family member 3
ENSG00000179750	-1.0826903190727928	4.474081667680411	155.6895182288995	9.897260235046483e-36	4.109657064486189e-33	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B
ENSG00000107959	0.9109265047471965	5.625251278771724	153.03735915742925	3.7593098571054634e-35	1.5507153160560037e-32	PITRM1	pitrilysin metallopeptidase 1
ENSG00000137745	-1.0467254153292236	5.0688326308187115	152.89967638165132	4.029011722237155e-35	1.6511048038187558e-32	MMP13	matrix metallopeptidase 13
ENSG00000291105	-0.9647912549349623	4.306001688904775	152.68569206346785	4.4870911417587004e-35	1.8268871077160424e-32	NA	NA
ENSG00000101144	-0.6609855581208799	6.523879238962096	152.64145943548922	4.588090774301567e-35	1.8559567196690855e-32	BMP7	bone morphogenetic protein 7
ENSG00000136205	-0.9456508734353167	5.419410855813068	151.87826759544848	6.73645778392416e-35	2.7075378400772103e-32	TNS3	tensin 3
ENSG00000139514	-0.7059813993935902	7.019056864776095	151.53449854161565	8.008770899258578e-35	3.1984072317421204e-32	SLC7A1	solute carrier family 7 member 1
ENSG00000252213	10.113298519593661	1.77267062874249	151.1985293624462	9.484107272703423e-35	3.7636299113829406e-32	SNORA74D	small nucleolar RNA, H/ACA box 74D
ENSG00000277075	-1.002783951324017	4.448456536130033	150.2267134797403	1.5466989914252774e-34	6.099246966186472e-32	H2AC8	H2A clustered histone 8
ENSG00000135924	-0.7790522453118014	5.587058712895422	148.4969455898782	3.6940464291617536e-34	1.4476044444277622e-31	DNAJB2	DnaJ heat shock protein family (Hsp40) member B2
ENSG00000120915	-1.011802603878243	4.452175875413715	148.243828760908	4.195962385395499e-34	1.6340797612689301e-31	EPHX2	epoxide hydrolase 2
ENSG00000177156	1.0498452812483188	9.193058256639306	148.0144160588868	4.709554537868832e-34	1.8227720341010848e-31	TALDO1	transaldolase 1
ENSG00000116039	-2.2620071414357374	5.494042137136434	147.5799012842629	5.860889790643793e-34	2.2544649685482562e-31	ATP6V1B1	ATPase H+ transporting V1 subunit B1
ENSG00000109929	-0.9146007223437758	5.937765402572557	147.4650455628878	6.2097054864898205e-34	2.374076426847023e-31	SC5D	sterol-C5-desaturase
ENSG00000135046	0.7233222065186934	9.828125042421508	146.55954361667466	9.795308957278499e-34	3.7222174037658293e-31	ANXA1	annexin A1
ENSG00000074211	0.8779792647019744	4.994542101397041	145.775436672004	1.4535643239719945e-33	5.4902700670508465e-31	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma
ENSG00000173418	1.0702177652717635	7.045664565986034	144.5321793767361	2.7179362127025205e-33	1.02044670979909e-30	NAA20	N-alpha-acetyltransferase 20, NatB catalytic subunit
ENSG00000162545	-0.7895578354427585	6.436100526185802	144.50503371886288	2.7553330828624705e-33	1.0283296684254577e-30	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1
ENSG00000101825	-0.9312603660103078	4.937213880682576	144.30041809071247	3.0542838645863946e-33	1.1331573864471417e-30	MXRA5	matrix remodeling associated 5
ENSG00000123364	-0.7127159196443632	6.197838067221447	143.82486228990234	3.8804511135926626e-33	1.4312016754250584e-30	HOXC13	homeobox C13
ENSG00000186529	1.6286640659455711	6.844141500336766	143.7161827953792	4.0986761789713644e-33	1.5028479322895004e-30	CYP4F3	cytochrome P450 family 4 subfamily F member 3
ENSG00000179218	-0.840239318213077	7.739808211825549	142.96070696347408	5.995455091272372e-33	2.1855525245510333e-30	CALR	calreticulin
ENSG00000135919	1.961399452644606	3.512007400483511	141.91042323147556	1.0173440099076183e-32	3.6871369607634484e-30	SERPINE2	serpin family E member 2
ENSG00000148400	-0.9748920734843374	5.475188434086537	140.42602270045674	2.14809459121436e-32	7.740547751100021e-30	NOTCH1	notch receptor 1
ENSG00000169474	-1.5563185427965993	4.029226865001616	139.24549391968114	3.892331877104726e-32	1.3945669068255217e-29	SPRR1A	small proline rich protein 1A
ENSG00000138363	0.7231470697608712	6.626614695118622	139.18936021909585	4.0039208343334253e-32	1.4263967972312827e-29	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
ENSG00000283992	-1.5741868522135993	8.522695376154509	137.49095857844645	9.417105635360768e-32	3.335889962356611e-29	SLURP2	secreted LY6/PLAUR domain containing 2
ENSG00000150347	-1.390375966766084	4.706688636404607	137.44360419020882	9.644374553322935e-32	3.3972038454682474e-29	ARID5B	AT-rich interaction domain 5B
ENSG00000105835	1.0799827158044566	6.052594248709174	136.97597166379535	1.2205310712898756e-31	4.275268054182972e-29	NAMPT	nicotinamide phosphoribosyltransferase
ENSG00000104687	1.1637790938755024	6.3289337365394305	136.88808979440938	1.2757616522549982e-31	4.4439030886882434e-29	GSR	glutathione-disulfide reductase
ENSG00000124429	-0.8988604267949665	4.275478674776491	135.60131347453492	2.4389971741873875e-31	8.44890181334526e-29	POF1B	POF1B actin binding protein
ENSG00000156515	0.7324236053683012	7.052400779875871	135.19953546206716	2.986011309452829e-31	1.028697302762046e-28	HK1	hexokinase 1
ENSG00000118777	1.4349112735484293	3.33964866435351	132.48627209021333	1.1711372871828113e-30	4.0125851314952063e-28	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)
ENSG00000163739	-1.1532707614313384	3.8757383122873565	131.06832623861067	2.392286631286719e-30	8.15197672726507e-28	CXCL1	C-X-C motif chemokine ligand 1
